country,iso3,region,subregion,sector,fo_base_score,lmic_calibrated_score,calibration_factor,risk_label_global,risk_label_lmic,task_routine,task_cognitive,task_manual,informal_economy_pct,internet_penetration_pct,avg_wage_usd_month,source
Ethiopia,ETH,Sub-Saharan Africa,East Africa,financial_svcs,0.72,0.396,0.55,High,Medium,0.76,0.62,0.08,80.1,14.8,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ethiopia,ETH,Sub-Saharan Africa,East Africa,education,0.02,0.011,0.55,Low,Low,0.12,0.9,0.22,80.1,14.8,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Ethiopia,ETH,Sub-Saharan Africa,East Africa,domestic_svcs,0.28,0.154,0.55,Low,Low,0.32,0.28,0.8,80.1,14.8,140,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,agriculture,0.68,0.305,0.64,High,Medium,0.72,0.28,0.88,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,trade_retail,0.89,0.427,0.64,High,Medium,0.82,0.32,0.42,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,construction,0.71,0.454,0.64,High,Medium,0.64,0.28,0.88,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,ict_services,0.38,0.3,0.64,Medium,Medium,0.28,0.88,0.15,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,manufacturing,0.88,0.563,0.64,High,Medium,0.86,0.22,0.78,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,health_social,0.18,0.115,0.64,Low,Low,0.22,0.82,0.58,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,transport,0.78,0.499,0.64,High,Medium,0.7,0.32,0.72,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,financial_svcs,0.72,0.461,0.64,High,Medium,0.76,0.62,0.08,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,education,0.02,0.013,0.64,Low,Low,0.12,0.9,0.22,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Rwanda,RWA,Sub-Saharan Africa,East Africa,domestic_svcs,0.28,0.179,0.64,Low,Low,0.32,0.28,0.8,68.4,28.4,210,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,agriculture,0.68,0.252,0.53,High,Low,0.72,0.28,0.88,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,trade_retail,0.89,0.354,0.53,High,Medium,0.82,0.32,0.42,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,construction,0.71,0.376,0.53,High,Medium,0.64,0.28,0.88,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,ict_services,0.38,0.258,0.53,Medium,Low,0.28,0.88,0.15,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,manufacturing,0.88,0.382,0.53,High,Medium,0.86,0.22,0.78,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,health_social,0.18,0.095,0.53,Low,Low,0.22,0.82,0.58,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,transport,0.78,0.413,0.53,High,Medium,0.7,0.32,0.72,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,financial_svcs,0.72,0.382,0.53,High,Medium,0.76,0.62,0.08,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,education,0.02,0.011,0.53,Low,Low,0.12,0.9,0.22,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Mozambique,MOZ,Sub-Saharan Africa,East Africa,domestic_svcs,0.28,0.148,0.53,Low,Low,0.32,0.28,0.8,82.4,17.0,130,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zambia,ZMB,Sub-Saharan Africa,East Africa,agriculture,0.68,0.271,0.57,High,Low,0.72,0.28,0.88,78.2,16.0,155,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zambia,ZMB,Sub-Saharan Africa,East Africa,trade_retail,0.89,0.38,0.57,High,Medium,0.82,0.32,0.42,78.2,16.0,155,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zambia,ZMB,Sub-Saharan Africa,East Africa,construction,0.71,0.405,0.57,High,Medium,0.64,0.28,0.88,78.2,16.0,155,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zambia,ZMB,Sub-Saharan Africa,East Africa,ict_services,0.38,0.274,0.57,Medium,Low,0.28,0.88,0.15,78.2,16.0,155,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zambia,ZMB,Sub-Saharan Africa,East Africa,manufacturing,0.88,0.411,0.57,High,Medium,0.86,0.22,0.78,78.2,16.0,155,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zambia,ZMB,Sub-Saharan Africa,East Africa,health_social,0.18,0.103,0.57,Low,Low,0.22,0.82,0.58,78.2,16.0,155,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zambia,ZMB,Sub-Saharan Africa,East Africa,transport,0.78,0.445,0.57,High,Medium,0.7,0.32,0.72,78.2,16.0,155,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zambia,ZMB,Sub-Saharan Africa,East Africa,financial_svcs,0.72,0.41,0.57,High,Medium,0.76,0.62,0.08,78.2,16.0,155,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zambia,ZMB,Sub-Saharan Africa,East Africa,education,0.02,0.011,0.57,Low,Low,0.12,0.9,0.22,78.2,16.0,155,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zambia,ZMB,Sub-Saharan Africa,East Africa,domestic_svcs,0.28,0.16,0.57,Low,Low,0.32,0.28,0.8,78.2,16.0,155,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
South Africa,ZAF,Sub-Saharan Africa,Southern Africa,agriculture,0.68,0.517,0.76,High,Medium,0.72,0.28,0.88,34.2,68.2,820,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
South Africa,ZAF,Sub-Saharan Africa,Southern Africa,trade_retail,0.89,0.676,0.76,High,High,0.82,0.32,0.42,34.2,68.2,820,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
South Africa,ZAF,Sub-Saharan Africa,Southern Africa,construction,0.71,0.54,0.76,High,Medium,0.64,0.28,0.88,34.2,68.2,820,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
South Africa,ZAF,Sub-Saharan Africa,Southern Africa,ict_services,0.38,0.346,0.76,Medium,Medium,0.28,0.88,0.15,34.2,68.2,820,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
South Africa,ZAF,Sub-Saharan Africa,Southern Africa,manufacturing,0.88,0.669,0.76,High,High,0.86,0.22,0.78,34.2,68.2,820,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
South Africa,ZAF,Sub-Saharan Africa,Southern Africa,health_social,0.18,0.137,0.76,Low,Low,0.22,0.82,0.58,34.2,68.2,820,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
South Africa,ZAF,Sub-Saharan Africa,Southern Africa,transport,0.78,0.593,0.76,High,Medium,0.7,0.32,0.72,34.2,68.2,820,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
South Africa,ZAF,Sub-Saharan Africa,Southern Africa,financial_svcs,0.72,0.547,0.76,High,Medium,0.76,0.62,0.08,34.2,68.2,820,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
South Africa,ZAF,Sub-Saharan Africa,Southern Africa,education,0.02,0.015,0.76,Low,Low,0.12,0.9,0.22,34.2,68.2,820,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
South Africa,ZAF,Sub-Saharan Africa,Southern Africa,domestic_svcs,0.28,0.213,0.76,Low,Low,0.32,0.28,0.8,34.2,68.2,820,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zimbabwe,ZWE,Sub-Saharan Africa,Southern Africa,agriculture,0.68,0.257,0.54,High,Low,0.72,0.28,0.88,79.4,27.6,145,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zimbabwe,ZWE,Sub-Saharan Africa,Southern Africa,trade_retail,0.89,0.36,0.54,High,Medium,0.82,0.32,0.42,79.4,27.6,145,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zimbabwe,ZWE,Sub-Saharan Africa,Southern Africa,construction,0.71,0.383,0.54,High,Medium,0.64,0.28,0.88,79.4,27.6,145,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zimbabwe,ZWE,Sub-Saharan Africa,Southern Africa,ict_services,0.38,0.262,0.54,Medium,Low,0.28,0.88,0.15,79.4,27.6,145,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zimbabwe,ZWE,Sub-Saharan Africa,Southern Africa,manufacturing,0.88,0.39,0.54,High,Medium,0.86,0.22,0.78,79.4,27.6,145,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zimbabwe,ZWE,Sub-Saharan Africa,Southern Africa,health_social,0.18,0.097,0.54,Low,Low,0.22,0.82,0.58,79.4,27.6,145,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zimbabwe,ZWE,Sub-Saharan Africa,Southern Africa,transport,0.78,0.421,0.54,High,Medium,0.7,0.32,0.72,79.4,27.6,145,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zimbabwe,ZWE,Sub-Saharan Africa,Southern Africa,financial_svcs,0.72,0.389,0.54,High,Medium,0.76,0.62,0.08,79.4,27.6,145,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zimbabwe,ZWE,Sub-Saharan Africa,Southern Africa,education,0.02,0.011,0.54,Low,Low,0.12,0.9,0.22,79.4,27.6,145,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Zimbabwe,ZWE,Sub-Saharan Africa,Southern Africa,domestic_svcs,0.28,0.151,0.54,Low,Low,0.32,0.28,0.8,79.4,27.6,145,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Malawi,MWI,Sub-Saharan Africa,Southern Africa,agriculture,0.68,0.238,0.5,High,Low,0.72,0.28,0.88,84.2,14.0,110,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Malawi,MWI,Sub-Saharan Africa,Southern Africa,trade_retail,0.89,0.334,0.5,High,Medium,0.82,0.32,0.42,84.2,14.0,110,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Malawi,MWI,Sub-Saharan Africa,Southern Africa,construction,0.71,0.355,0.5,High,Medium,0.64,0.28,0.88,84.2,14.0,110,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Malawi,MWI,Sub-Saharan Africa,Southern Africa,ict_services,0.38,0.247,0.5,Medium,Low,0.28,0.88,0.15,84.2,14.0,110,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Malawi,MWI,Sub-Saharan Africa,Southern Africa,manufacturing,0.88,0.361,0.5,High,Medium,0.86,0.22,0.78,84.2,14.0,110,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Malawi,MWI,Sub-Saharan Africa,Southern Africa,health_social,0.18,0.09,0.5,Low,Low,0.22,0.82,0.58,84.2,14.0,110,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Malawi,MWI,Sub-Saharan Africa,Southern Africa,transport,0.78,0.39,0.5,High,Medium,0.7,0.32,0.72,84.2,14.0,110,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Malawi,MWI,Sub-Saharan Africa,Southern Africa,financial_svcs,0.72,0.36,0.5,High,Medium,0.76,0.62,0.08,84.2,14.0,110,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Malawi,MWI,Sub-Saharan Africa,Southern Africa,education,0.02,0.01,0.5,Low,Low,0.12,0.9,0.22,84.2,14.0,110,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Malawi,MWI,Sub-Saharan Africa,Southern Africa,domestic_svcs,0.28,0.14,0.5,Low,Low,0.32,0.28,0.8,84.2,14.0,110,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
India,IND,South Asia,South Asia,agriculture,0.68,0.49,0.72,High,Medium,0.72,0.28,0.88,66.8,46.3,380,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
India,IND,South Asia,South Asia,trade_retail,0.89,0.481,0.72,High,Medium,0.82,0.32,0.42,66.8,46.3,380,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
India,IND,South Asia,South Asia,construction,0.71,0.511,0.72,High,Medium,0.64,0.28,0.88,66.8,46.3,380,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
India,IND,South Asia,South Asia,ict_services,0.38,0.331,0.72,Medium,Medium,0.28,0.88,0.15,66.8,46.3,380,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
India,IND,South Asia,South Asia,manufacturing,0.88,0.634,0.72,High,High,0.86,0.22,0.78,66.8,46.3,380,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
India,IND,South Asia,South Asia,health_social,0.18,0.13,0.72,Low,Low,0.22,0.82,0.58,66.8,46.3,380,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
India,IND,South Asia,South Asia,transport,0.78,0.562,0.72,High,Medium,0.7,0.32,0.72,66.8,46.3,380,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
India,IND,South Asia,South Asia,financial_svcs,0.72,0.518,0.72,High,Medium,0.76,0.62,0.08,66.8,46.3,380,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
India,IND,South Asia,South Asia,education,0.02,0.014,0.72,Low,Low,0.12,0.9,0.22,66.8,46.3,380,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
India,IND,South Asia,South Asia,domestic_svcs,0.28,0.202,0.72,Low,Low,0.32,0.28,0.8,66.8,46.3,380,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Bangladesh,BGD,South Asia,South Asia,agriculture,0.68,0.324,0.68,High,Medium,0.72,0.28,0.88,71.4,38.9,290,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Bangladesh,BGD,South Asia,South Asia,trade_retail,0.89,0.454,0.68,High,Medium,0.82,0.32,0.42,71.4,38.9,290,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Bangladesh,BGD,South Asia,South Asia,construction,0.71,0.483,0.68,High,Medium,0.64,0.28,0.88,71.4,38.9,290,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Bangladesh,BGD,South Asia,South Asia,ict_services,0.38,0.315,0.68,Medium,Medium,0.28,0.88,0.15,71.4,38.9,290,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Bangladesh,BGD,South Asia,South Asia,manufacturing,0.88,0.598,0.68,High,Medium,0.86,0.22,0.78,71.4,38.9,290,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Bangladesh,BGD,South Asia,South Asia,health_social,0.18,0.122,0.68,Low,Low,0.22,0.82,0.58,71.4,38.9,290,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Bangladesh,BGD,South Asia,South Asia,transport,0.78,0.53,0.68,High,Medium,0.7,0.32,0.72,71.4,38.9,290,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Bangladesh,BGD,South Asia,South Asia,financial_svcs,0.72,0.49,0.68,High,Medium,0.76,0.62,0.08,71.4,38.9,290,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Bangladesh,BGD,South Asia,South Asia,education,0.02,0.014,0.68,Low,Low,0.12,0.9,0.22,71.4,38.9,290,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Bangladesh,BGD,South Asia,South Asia,domestic_svcs,0.28,0.19,0.68,Low,Low,0.32,0.28,0.8,71.4,38.9,290,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Pakistan,PAK,South Asia,South Asia,agriculture,0.68,0.309,0.65,High,Medium,0.72,0.28,0.88,72.8,36.2,260,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Pakistan,PAK,South Asia,South Asia,trade_retail,0.89,0.434,0.65,High,Medium,0.82,0.32,0.42,72.8,36.2,260,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Pakistan,PAK,South Asia,South Asia,construction,0.71,0.461,0.65,High,Medium,0.64,0.28,0.88,72.8,36.2,260,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Pakistan,PAK,South Asia,South Asia,ict_services,0.38,0.304,0.65,Medium,Medium,0.28,0.88,0.15,72.8,36.2,260,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Pakistan,PAK,South Asia,South Asia,manufacturing,0.88,0.572,0.65,High,Medium,0.86,0.22,0.78,72.8,36.2,260,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Pakistan,PAK,South Asia,South Asia,health_social,0.18,0.117,0.65,Low,Low,0.22,0.82,0.58,72.8,36.2,260,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Pakistan,PAK,South Asia,South Asia,transport,0.78,0.507,0.65,High,Medium,0.7,0.32,0.72,72.8,36.2,260,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Pakistan,PAK,South Asia,South Asia,financial_svcs,0.72,0.468,0.65,High,Medium,0.76,0.62,0.08,72.8,36.2,260,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Pakistan,PAK,South Asia,South Asia,education,0.02,0.013,0.65,Low,Low,0.12,0.9,0.22,72.8,36.2,260,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Pakistan,PAK,South Asia,South Asia,domestic_svcs,0.28,0.182,0.65,Low,Low,0.32,0.28,0.8,72.8,36.2,260,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Nepal,NPL,South Asia,South Asia,agriculture,0.68,0.286,0.6,High,Low,0.72,0.28,0.88,76.2,34.0,200,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Nepal,NPL,South Asia,South Asia,trade_retail,0.89,0.401,0.6,High,Medium,0.82,0.32,0.42,76.2,34.0,200,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Nepal,NPL,South Asia,South Asia,construction,0.71,0.426,0.6,High,Medium,0.64,0.28,0.88,76.2,34.0,200,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Nepal,NPL,South Asia,South Asia,ict_services,0.38,0.285,0.6,Medium,Low,0.28,0.88,0.15,76.2,34.0,200,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Nepal,NPL,South Asia,South Asia,manufacturing,0.88,0.528,0.6,High,Medium,0.86,0.22,0.78,76.2,34.0,200,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
Nepal,NPL,South Asia,South Asia,health_social,0.18,0.108,0.6,Low,Low,0.22,0.82,0.58,76.2,34.0,200,Frey-Osborne 2017 + ILO Task Indices + World Bank STEP + ITU 2023
